Episode 124	 Total Reward: 3.07	 Steps: 14
Episode 125	 Total Reward: -2.35	 Steps: 7
Episode 126	 Total Reward: -0.11	 Steps: 0
Episode 127	 Total Reward: -0.11	 Steps: 0
Episode 128	 Total Reward: -0.16	 Steps: 3
Episode 129	 Total Reward: -0.62	 Steps: 7
Episode 130	 Total Reward: 0.39	 Steps: 2
Episode 131	 Total Reward: 0.07	 Steps: 3
Episode 132	 Total Reward: -0.54	 Steps: 5
Episode 133	 Total Reward: 0.17	 Steps: 4
Episode 134	 Total Reward: -0.09	 Steps: 4
Episode 135	 Total Reward: -1.16	 Steps: 2
Episode 136	 Total Reward: -1.18	 Steps: 1
Episode 137	 Total Reward: 0.34	 Steps: 4
Episode 138	 Total Reward: -0.18	 Steps: 4
Episode 139	 Total Reward: -0.11	 Steps: 0
Episode 140	 Total Reward: -0.11	 Steps: 0
Episode 141	 Total Reward: -1.44	 Steps: 3
Episode 142	 Total Reward: -0.19	 Steps: 4
Episode 143	 Total Reward: 0.97	 Steps: 1
Episode 144	 Total Reward: -0.76	 Steps: 3
Episode 145	 Total Reward: 0.15	 Steps: 4
Episode 146	 Total Reward: -1.01	 Steps: 4
Episode 147	 Total Reward: -3.27	 Steps: 9
Episode 148	 Total Reward: -2.22	 Steps: 4
Episode 149	 Total Reward: -0.41	 Steps: 4
Episode 150	 Total Reward: 0.39	 Steps: 7
Episode 151	 Total Reward: 2.87	 Steps: 4
Episode 152	 Total Reward: -1.02	 Steps: 2
Episode 153	 Total Reward: -0.09	 Steps: 4
Episode 154	 Total Reward: -1.30	 Steps: 1
Episode 155	 Total Reward: -0.22	 Steps: 7
Episode 156	 Total Reward: -0.11	 Steps: 0
Episode 157	 Total Reward: -0.13	 Steps: 2
Episode 158	 Total Reward: -0.11	 Steps: 0
Episode 159	 Total Reward: -1.85	 Steps: 5
Episode 160	 Total Reward: 1.14	 Steps: 2
Episode 161	 Total Reward: 0.40	 Steps: 7
Episode 162	 Total Reward: -0.19	 Steps: 5
Episode 163	 Total Reward: -1.46	 Steps: 2
Episode 164	 Total Reward: 3.66	 Steps: 8
Episode 165	 Total Reward: 0.19	 Steps: 4
Episode 166	 Total Reward: -1.63	 Steps: 7
Episode 167	 Total Reward: -0.81	 Steps: 3
Episode 168	 Total Reward: 0.09	 Steps: 4
Episode 169	 Total Reward: -0.06	 Steps: 10
Episode 170	 Total Reward: -3.60	 Steps: 3
Episode 171	 Total Reward: 1.79	 Steps: 3
Episode 172	 Total Reward: -0.11	 Steps: 0
Episode 173	 Total Reward: 0.90	 Steps: 2
Episode 174	 Total Reward: -1.52	 Steps: 2
Episode 175	 Total Reward: -0.13	 Steps: 2
Episode 176	 Total Reward: 1.72	 Steps: 2
Episode 177	 Total Reward: 0.37	 Steps: 1
Episode 178	 Total Reward: -0.11	 Steps: 0
Episode 179	 Total Reward: -0.81	 Steps: 2
Episode 180	 Total Reward: -0.11	 Steps: 0
Episode 181	 Total Reward: -0.07	 Steps: 1
Episode 182	 Total Reward: -1.48	 Steps: 2
Episode 183	 Total Reward: 2.05	 Steps: 1
Episode 184	 Total Reward: 0.20	 Steps: 2
Episode 185	 Total Reward: -0.58	 Steps: 3
Episode 186	 Total Reward: -2.18	 Steps: 5
Episode 187	 Total Reward: -0.70	 Steps: 2
Episode 188	 Total Reward: -0.19	 Steps: 6
Episode 189	 Total Reward: 1.48	 Steps: 2
Episode 190	 Total Reward: 1.15	 Steps: 9
Episode 191	 Total Reward: 2.18	 Steps: 1
Episode 192	 Total Reward: -2.60	 Steps: 1
Episode 193	 Total Reward: 0.07	 Steps: 1
Episode 194	 Total Reward: -0.91	 Steps: 2
Episode 195	 Total Reward: -1.06	 Steps: 9
Episode 196	 Total Reward: -0.55	 Steps: 1
Episode 197	 Total Reward: 0.51	 Steps: 11
Episode 198	 Total Reward: -1.58	 Steps: 5
Episode 199	 Total Reward: 0.85	 Steps: 1
Episode 200	 Total Reward: -1.52	 Steps: 1
Episode 201	 Total Reward: -0.27	 Steps: 2
Episode 202	 Total Reward: 3.13	 Steps: 5
Episode 203	 Total Reward: 0.29	 Steps: 3
Episode 204	 Total Reward: -0.11	 Steps: 0
Episode 205	 Total Reward: 1.76	 Steps: 2
Episode 206	 Total Reward: -0.19	 Steps: 11
Episode 207	 Total Reward: 0.22	 Steps: 4
Episode 208	 Total Reward: -1.78	 Steps: 4
Episode 209	 Total Reward: 0.38	 Steps: 2
Episode 210	 Total Reward: -2.43	 Steps: 2
Episode 211	 Total Reward: 2.09	 Steps: 11
Episode 212	 Total Reward: -0.11	 Steps: 0
Episode 213	 Total Reward: -0.11	 Steps: 0
Episode 214	 Total Reward: -1.95	 Steps: 9
Episode 215	 Total Reward: -0.11	 Steps: 0
Episode 216	 Total Reward: -0.11	 Steps: 0
Episode 217	 Total Reward: -0.11	 Steps: 0
Episode 218	 Total Reward: -1.76	 Steps: 5
Episode 219	 Total Reward: -0.54	 Steps: 1
Episode 220	 Total Reward: -2.13	 Steps: 1
Episode 221	 Total Reward: -0.30	 Steps: 1
Episode 222	 Total Reward: -0.32	 Steps: 4
Episode 223	 Total Reward: -0.90	 Steps: 1
Episode 224	 Total Reward: -1.11	 Steps: 5
Episode 225	 Total Reward: -0.60	 Steps: 1
Episode 226	 Total Reward: -0.11	 Steps: 0
Episode 227	 Total Reward: 0.03	 Steps: 5
Episode 228	 Total Reward: 0.56	 Steps: 3
Episode 229	 Total Reward: 0.72	 Steps: 2
Episode 230	 Total Reward: -0.11	 Steps: 0
Episode 231	 Total Reward: -0.11	 Steps: 0
Episode 232	 Total Reward: 2.88	 Steps: 4
Episode 233	 Total Reward: -2.28	 Steps: 11
Episode 234	 Total Reward: 0.20	 Steps: 1
Episode 235	 Total Reward: -3.32	 Steps: 4
Episode 236	 Total Reward: -0.17	 Steps: 4
Episode 237	 Total Reward: -3.20	 Steps: 5
Episode 238	 Total Reward: -1.41	 Steps: 7
Episode 239	 Total Reward: 0.71	 Steps: 5
Episode 240	 Total Reward: -0.11	 Steps: 0
Episode 241	 Total Reward: 0.66	 Steps: 3
Episode 242	 Total Reward: -0.11	 Steps: 0
Episode 243	 Total Reward: -0.37	 Steps: 1
Episode 244	 Total Reward: -1.20	 Steps: 4
Episode 245	 Total Reward: 0.47	 Steps: 2
Episode 246	 Total Reward: 1.96	 Steps: 10
Episode 247	 Total Reward: -0.09	 Steps: 2
Episode 248	 Total Reward: -0.11	 Steps: 0
Episode 249	 Total Reward: -1.90	 Steps: 2
Episode 250	 Total Reward: -0.11	 Steps: 0
Episode 251	 Total Reward: 0.15	 Steps: 6
Episode 252	 Total Reward: -0.92	 Steps: 3
Episode 253	 Total Reward: -0.11	 Steps: 0
Episode 254	 Total Reward: -1.77	 Steps: 5
Episode 255	 Total Reward: -1.67	 Steps: 10
Episode 256	 Total Reward: -3.70	 Steps: 9
Episode 257	 Total Reward: -0.62	 Steps: 5
Episode 258	 Total Reward: 0.43	 Steps: 2
Episode 259	 Total Reward: -1.53	 Steps: 2
Episode 260	 Total Reward: 0.07	 Steps: 1
Episode 261	 Total Reward: -0.11	 Steps: 0
Episode 262	 Total Reward: -0.11	 Steps: 0
Episode 263	 Total Reward: -0.97	 Steps: 4
Episode 264	 Total Reward: -1.56	 Steps: 3
Episode 265	 Total Reward: -1.52	 Steps: 3
Episode 266	 Total Reward: -0.57	 Steps: 3
Episode 267	 Total Reward: -0.11	 Steps: 0
Episode 268	 Total Reward: -0.11	 Steps: 0
Episode 269	 Total Reward: 1.70	 Steps: 7
Episode 270	 Total Reward: -0.14	 Steps: 2
Episode 271	 Total Reward: 2.90	 Steps: 6
Episode 272	 Total Reward: 0.01	 Steps: 5
Episode 273	 Total Reward: 0.96	 Steps: 1
Episode 274	 Total Reward: 0.12	 Steps: 1
Episode 275	 Total Reward: -0.11	 Steps: 0
Episode 276	 Total Reward: -0.11	 Steps: 0
Episode 277	 Total Reward: -0.11	 Steps: 0
Episode 278	 Total Reward: -0.87	 Steps: 2
Episode 279	 Total Reward: 0.84	 Steps: 2
Episode 280	 Total Reward: -0.11	 Steps: 0
Episode 281	 Total Reward: -4.93	 Steps: 10
Episode 282	 Total Reward: -1.05	 Steps: 6
Episode 283	 Total Reward: -1.66	 Steps: 1
Episode 284	 Total Reward: -2.08	 Steps: 8
Episode 285	 Total Reward: -0.13	 Steps: 2
Episode 286	 Total Reward: -0.68	 Steps: 8
Episode 287	 Total Reward: -2.59	 Steps: 6
Episode 288	 Total Reward: -0.40	 Steps: 5
Episode 289	 Total Reward: -4.26	 Steps: 7
Episode 290	 Total Reward: -0.95	 Steps: 2
Episode 291	 Total Reward: 1.47	 Steps: 16
Episode 292	 Total Reward: 0.87	 Steps: 1
Episode 293	 Total Reward: -0.11	 Steps: 0
Episode 294	 Total Reward: -0.11	 Steps: 0
Episode 295	 Total Reward: -0.11	 Steps: 0
Episode 296	 Total Reward: -0.11	 Steps: 0
Episode 297	 Total Reward: -1.13	 Steps: 6
Episode 298	 Total Reward: 0.51	 Steps: 3
Episode 299	 Total Reward: -4.84	 Steps: 7
Episode 300	 Total Reward: -0.11	 Steps: 0
Episode 301	 Total Reward: 0.27	 Steps: 3
Episode 302	 Total Reward: -0.11	 Steps: 0
Episode 303	 Total Reward: -0.11	 Steps: 0
Episode 304	 Total Reward: -0.58	 Steps: 3
Episode 305	 Total Reward: -0.91	 Steps: 11
Episode 306	 Total Reward: -0.11	 Steps: 0
Episode 307	 Total Reward: -0.37	 Steps: 1
Episode 308	 Total Reward: -0.46	 Steps: 8
Episode 309	 Total Reward: -0.62	 Steps: 7
Episode 310	 Total Reward: -0.56	 Steps: 4
Episode 311	 Total Reward: -0.11	 Steps: 0
Episode 312	 Total Reward: -0.11	 Steps: 0
Episode 313	 Total Reward: 0.29	 Steps: 8
Episode 314	 Total Reward: -1.76	 Steps: 2
Episode 315	 Total Reward: -0.11	 Steps: 0
Episode 316	 Total Reward: -2.80	 Steps: 2
Episode 317	 Total Reward: -0.11	 Steps: 0
Episode 318	 Total Reward: -0.11	 Steps: 2
Episode 319	 Total Reward: 1.46	 Steps: 6
Episode 320	 Total Reward: 0.05	 Steps: 3
Episode 321	 Total Reward: 3.20	 Steps: 7
Episode 322	 Total Reward: -1.65	 Steps: 3
Episode 323	 Total Reward: -0.42	 Steps: 3
Episode 324	 Total Reward: -1.19	 Steps: 7
Episode 325	 Total Reward: -0.11	 Steps: 0
Episode 326	 Total Reward: -1.77	 Steps: 2
Episode 327	 Total Reward: 0.42	 Steps: 6
Episode 328	 Total Reward: -0.11	 Steps: 0
Episode 329	 Total Reward: 2.39	 Steps: 1
Episode 330	 Total Reward: -2.79	 Steps: 1
Episode 331	 Total Reward: -0.22	 Steps: 1
Episode 332	 Total Reward: 0.15	 Steps: 8
Episode 333	 Total Reward: -0.11	 Steps: 0
Episode 334	 Total Reward: -0.11	 Steps: 0
Episode 335	 Total Reward: -0.11	 Steps: 0
Episode 336	 Total Reward: -0.11	 Steps: 0
Episode 337	 Total Reward: -0.11	 Steps: 0
Episode 338	 Total Reward: -1.43	 Steps: 3
Episode 339	 Total Reward: -0.05	 Steps: 4
Episode 340	 Total Reward: -0.24	 Steps: 1
Episode 341	 Total Reward: -0.13	 Steps: 2
Episode 342	 Total Reward: 0.66	 Steps: 11
Episode 343	 Total Reward: -1.74	 Steps: 9
Episode 344	 Total Reward: -0.11	 Steps: 0
Episode 345	 Total Reward: -1.89	 Steps: 8
Episode 346	 Total Reward: -1.63	 Steps: 17
Episode 347	 Total Reward: -0.52	 Steps: 1
Episode 348	 Total Reward: 2.06	 Steps: 4
